"","id","district","mathscore","pct_female","pct_minority","pct_lep","pct_sped","pct_lowinc","pct_mathremed","mobility","computer_home","computer_school","pct_fouryear","pct_twoyear","pct_work","avg_absences","st_ratio","avg_salary","enroll","ppe","urban","charter","votech","pct_licensed","pct_lic_core","pct_in_school_susp","pct_out_school_susp","averageclasssize"
"1",10000,"Abington",250.617645263672,48.0999984741211,5.09999990463257,1,15.3999996185303,11.3999996185303,9.8214282989502,2,2,1,61.8000030517578,24.3999996185303,9.89999961853027,8.30000019073486,15.6999998092651,57.314,589,9.33800029754639,0,0,0,99.0999984741211,98.3000030517578,4.09999990463257,3.09999990463257,23.1000003814697
"2",50000,"Agawam",251.768753051758,48.7000007629395,3.19999980926514,2.29999995231628,14,19.5,17.7700347900391,2,2,3,52.5,38.4000015258789,8.30000019073486,8.30000019073486,13.8000001907349,52.147,1309,10.3590002059937,0,0,0,100,100,5,2.70000004768372,17.2000007629395
"3",70000,"Amesbury",252.525146484375,48.0999984741211,4.90000009536743,0.800000011920929,17.5,14.8999996185303,29.2682914733887,2,2,2,63.4000015258789,19.7999992370605,14.1000003814697,8.69999980926514,14.5,54.914,724,10.9729995727539,0,0,0,99.4000015258789,96.5999984741211,0.200000002980232,2.59999990463257,19.2999992370605
"4",90000,"Andover",260.122741699219,48.9000015258789,3.89999985694885,1,16.1000003814697,3.90000009536743,25.4041557312012,2,3,2,88.1999969482422,8.10000038146973,0.5,6.59999990463257,13.6999998092651,64.431,1734,12.0249996185303,0,0,0,99.3000030517578,100,0.600000023841858,1.89999997615814,19.3999996185303
"5",100000,"Arlington",261.306457519531,49.5,7.89999961853027,3.79999995231628,16.1000003814697,9.69999980926514,7.14285755157471,2,3,3,77.6999969482422,8.30000019073486,3.90000009536743,5.90000009536743,13.6000003814697,53.655,1126,11.4060001373291,0,0,0,98.4000015258789,99.5999984741211,1.89999997615814,1.70000004768372,18.6000003814697
"6",140000,"Ashland",258.327880859375,49.2999992370605,9.10000038146973,2.40000009536743,13.3999996185303,8.30000019073486,9.89011001586914,2,3,3,80,10.5999994277954,7.69999980926514,7.59999990463257,14.8999996185303,52.772,721,10.5989999771118,0,0,0,100,99.5,2.29999995231628,1.70000004768372,18
"7",160000,"Attleboro",248.410263061523,48.2000007629395,14.6999998092651,4.5,17.3999996185303,22.5,10.75,2,2,1,42.7000007629395,25.5,22.6000003814697,9.5,15.1000003814697,60.93,1813,10.46399974823,0,0,0,99.6999969482422,98.3000030517578,3.20000004768372,5.09999990463257,20.1000003814697
"8",170000,"Auburn",254.95832824707,50,5.19999980926514,1,12.1000003814697,13,14.0625,2,3,3,58.1999969482422,27.1000003814697,4,7.5,14.5,51.231,686,10.8079996109009,0,0,0,100,98.6999969482422,1.20000004768372,2.20000004768372,18.5
"9",180000,"Avon",251.929824829102,49.2999992370605,24.8000011444092,0.300000011920929,14.5,25.8999996185303,2.85714292526245,2,3,1,70,16,8,8.60000038146973,12.3000001907349,50.704,239,10.9840002059937,0,0,0,100,100,0,1.70000004768372,16.8999996185303
"10",190000,"Ayer",249.574462890625,45.5,14.3999996185303,3.59999990463257,16.7000007629395,22.8999996185303,17.021276473999,2,3,3,51.7999992370605,18.7999992370605,13,9.89999961853027,13.1999998092651,54.035,386,11.2620000839233,0,0,0,NA,NA,NA,NA,NA
"11",200000,"Barnstable",250.957107543945,49.7000007629395,12.3000001907349,3.40000009536743,12.8999996185303,20.5,8.02919673919678,2,2,2,52.1999969482422,28.1000003814697,10.1999998092651,10.8999996185303,12.6999998092651,43.562,1748,12.1960000991821,0,0,0,99.9000015258789,99,3.40000009536743,4.59999990463257,17.3999996185303
"12",230000,"Bedford",258.88525390625,50,9.5,1.10000002384186,19,6.69999980926514,6.85747861862183,2,3,2,73.9000015258789,15.0999994277954,3.59999990463257,6.40000009536743,12.1999998092651,64.429,764,14.5389995574951,0,0,0,98.8000030517578,99.5,0.699999988079071,1.20000004768372,15.3000001907349
"13",240000,"Belchertown",252.641311645508,48.0999984741211,4.69999980926514,1.10000002384186,16,13.3000001907349,19.6721305847168,2,3,2,60,27.6000003814697,6.40000009536743,7.5,16,52.504,775,9.16399955749512,0,0,0,100,100,3.29999995231628,1.60000002384186,17.2000007629395
"14",250000,"Bellingham",252.157897949219,48.4000015258789,4.69999980926514,1.20000004768372,13.5,13.1999998092651,10.638298034668,2,2,2,64.9000015258789,13,15.8000001907349,8.89999961853027,14.8000001907349,55.684,785,10.1700000762939,0,0,0,98.8000030517578,99.5,0.100000001490116,1.79999995231628,19.1000003814697
"15",260000,"Belmont",263.639709472656,50.7999992370605,7.90000009536743,2.70000004768372,13.1000003814697,5.90000009536743,1.13636362552643,2,3,3,92.1999969482422,3.70000004768372,0.800000011920929,7.80000019073486,15.6999998092651,58.445,1156,10.7639999389648,0,0,0,100,100,0.200000002980232,1.10000002384186,21.1000003814697
"16",300000,"Beverly",249.898086547852,50.4000015258789,9.19999980926514,1,20.8999996185303,22,8.85245895385742,2,2,2,66.9000015258789,21.6999988555908,3,8.5,14.1999998092651,44.337,1245,11.2110004425049,0,0,0,98.5,99.8000030517578,1.20000004768372,2.29999995231628,20
"17",310000,"Billerica",253.983657836914,48.2000007629395,3.39999985694885,0.800000011920929,19.6000003814697,4.09999990463257,4,2,2,1,37.5,11.6000003814697,0,8.30000019073486,14.6000003814697,58.14,1514,10.451000213623,0,0,0,100,96.5999984741211,0,1.79999995231628,18.6000003814697
